col1,RA,Dec,isStageOne,isStageTwo,isStageThree,isStageFour
528,28.3142445,-13.9530426,false,false,false,false
529,28.2950728,-13.9507551,false,false,false,false
530,28.2919836,-13.9400139,false,false,false,false
531,259.0575965,59.76606870000001,false,false,false,false
532,259.1202845,59.7686166,false,false,false,false
533,259.1311232,59.7764816,false,false,false,false
534,259.1316619,59.79175550000001,false,false,false,false
535,150.6419072,2.0528397000000003,false,false,false,false
536,150.6257432,2.0742334,false,false,false,false
537,16.4558497,-25.762137,false,false,false,false
538,16.4829928,-25.7419148,false,false,false,false
539,16.4903236,-25.710359,false,false,false,false
540,168.98237619999998,1.4723069,false,false,false,false
541,186.7603718,23.8236472,false,false,false,false
542,186.7375357,23.8243505,false,false,false,false
543,186.74554780000005,23.8258687,false,false,false,false
544,186.7668101,23.8379162,false,false,false,false
545,186.7456443,23.8399085,false,false,false,false
546,22.9648189,-13.63644,false,false,false,false
547,22.983699,-13.6113413,false,false,false,false
548,186.8100267,23.9373405,false,false,false,false
549,186.8466329,23.9551885,false,false,false,false
550,186.8089191,23.955535,false,false,false,false
551,186.8386833,23.9573271,false,false,false,false
552,186.8571229,23.9585228,false,false,false,false
553,186.8224402,23.9696625,false,false,false,false
554,186.8549285,23.9691338,false,false,false,false
555,186.8484927,23.972521,false,false,false,false
556,186.8514058,23.974182100000004,false,false,false,false
557,186.8406116,23.9737241,false,false,false,false
558,186.8191999,23.9823712,false,false,false,false
559,186.8232167,23.9865312,false,false,false,false
560,39.9867465,-1.5848049,false,false,false,false
561,39.9411841,-1.5805432,false,false,false,false
562,39.9593835,-1.5770799,false,false,false,false
563,150.12416409999997,2.3331766,false,false,false,false
564,150.1122807,2.3386203,false,false,false,false
565,150.0800004,2.3465972,false,false,false,false
566,149.7778075,1.7663647,false,false,false,false
567,149.7854332,1.7759648,false,false,false,false
568,149.7506502,1.7854433999999997,false,false,false,false
569,149.7617813,1.7955202,false,false,false,false
570,186.3916855,2.1661315,false,false,false,false
571,350.20198480000005,-69.216479,false,false,false,false
572,350.224044,-69.2058152,false,false,false,false
573,350.29966310000015,-69.1867885,false,false,false,false
574,189.1992774,62.1793662,false,false,false,false
575,53.2902645,-27.7678075,false,false,false,false
576,53.0338946,-27.729191600000004,false,false,false,false
577,53.2346275,-27.8485368,false,false,false,false
578,259.5703635,59.7101659,false,false,false,false
579,259.625478,59.7100803,false,false,false,false
580,259.5368749,59.7171918,false,false,false,false
581,259.5418415,59.71756600000001,false,false,false,false
582,259.5387566,59.7322421,false,false,false,false
583,259.5799321,59.7449833,false,false,false,false
584,150.5043672,2.7149076,false,false,false,false
585,150.4566105,2.7195637,false,false,false,false
586,150.491774,2.7467138,false,false,false,false
587,150.4621073,2.7494947999999995,false,false,false,false
588,150.49433259999995,2.760627,false,false,false,false
589,149.8596687,2.330053,false,false,false,false
590,259.325757,59.4312091,false,false,false,false
591,259.3975522,59.4383751,false,false,false,false
592,259.3672828,59.45645079999999,false,false,false,false
593,259.3926185,59.4630001,false,false,false,false
594,259.3891335,59.4656218,false,false,false,false
595,259.3768057,59.470312,false,false,false,false
596,259.36308340000005,59.486718,false,false,false,false
597,184.9697828,47.2848898,false,false,false,false
598,184.9492756,47.3122694,false,false,false,false
599,11.0629716,39.7679362,false,false,false,false
600,11.0384652,39.78469000000001,false,false,false,false
601,238.953755,66.431977,false,false,false,false
602,238.9438518,66.4605477,false,false,false,false
603,316.5150659,-58.7369095,false,false,false,false
