col1,SourceID,RA,Dec,Stage 1,Stage 2,Stage 3,Stage 4
19827,4614342871,203.1335429,50.56181160000001,false,false,false,true
19828,4614569565,203.1743976,50.52328060000001,true,false,false,false
19829,4615053430,214.2852628,52.3794214,false,true,false,false
19830,4615405759,104.6620133,-55.9628009,false,true,false,false
19831,4615407706,104.6817451,-55.9442921,true,false,false,false
19832,4615407885,104.6805084,-55.941416,true,false,false,false
19833,4615550794,53.26857190000001,-27.7690835,false,false,true,false
19834,4615818694,149.6211402,1.9959438000000005,false,true,false,false
19835,4615843063,149.65347340000002,2.5932425,false,false,false,true
19836,4616632493,195.2005186,27.8802449,true,false,false,false
19837,4617202015,12.0336317,40.4377804,false,false,false,true
19838,4617925302,143.7187038,17.0338955,false,false,false,true
19839,4618090669,323.8171124,-1.0321779,false,true,false,false
19840,4618091465,323.8139105,-1.0247969,true,false,false,false
19841,4618091972,323.806241,-1.0182313,false,false,false,true
19842,4618619594,259.2617768,59.3977587,false,false,false,true
19843,4618753476,141.1742668,-25.0755651,false,false,false,true
19844,4618917849,150.45466059999995,2.7545366,false,false,true,false
19845,4619022957,35.7624037,42.5401403,false,false,true,false
19846,4619190987,183.394754,67.1277865,false,true,false,false
19847,4619192230,183.4377835,67.1420769,false,false,false,true
19848,4619197689,354.42424910000005,0.2710042,false,false,false,true
19849,4645772814,157.3482201,4.3322028,false,false,false,true
19850,4645776433,157.3546624,4.349214099999998,false,false,false,true
19851,4647583247,8.7513681,2.5419417,false,true,false,false
19852,4647585650,8.7236644,2.5603075,true,false,false,false
19853,4647586639,8.7432805,2.5678225,false,false,false,true
19854,4647587622,8.734322,2.5809538,false,true,false,false
19855,4648191933,209.2950339,4.331606400000001,true,false,false,false
19856,4648195626,209.2881568,4.3636284000000005,false,false,false,true
19857,4648195655,209.282742,4.3628425,false,false,false,true
19858,4648944059,16.0202519,2.2025605,true,false,false,false
19859,4648950310,16.0292946,2.1903609,true,false,false,false
19860,4648987639,73.5224786,2.8831149,true,false,false,false
19861,4648988760,73.55997629999997,2.8884404,true,false,false,false
19862,4648993402,73.5416689,2.9139924,false,false,true,false
19863,4649267837,205.2620105,67.6754921,false,false,false,true
19864,4649269005,205.2822106,67.68193520000001,false,false,false,true
19865,4651333659,149.816838,2.1040486,true,false,false,false
19866,4651333935,149.81104069999995,2.1064576,false,false,false,true
19867,4651336656,149.83670890000005,2.1417017000000005,true,false,false,false
19868,4651651353,175.5874426,58.529746,false,false,false,true
19869,4651988208,259.0781667,59.6257512,false,true,false,false
19870,4652861773,149.89778700000005,2.5923999,false,true,false,false
19871,4652862776,149.9230845,2.6039477000000004,false,true,false,false
19872,4652862785,149.9210196,2.6037323,false,true,false,false
19873,4652864163,149.92618480000004,2.6161694,false,false,false,true
19874,4652865138,149.9177072,2.6254999,false,false,true,false
19875,4652865710,149.9173132,2.633917,false,false,false,true
19876,4652868619,6.7909791,17.0585927,true,false,false,false
19877,4652948927,145.7639491,46.9870763,false,false,false,true
19878,4652949344,145.7681368,46.9957161,false,true,false,false
19879,4653535880,243.4531585,54.3821226,false,true,false,false
19880,4653933543,150.23788280000005,2.7420546000000003,false,false,false,true
19881,4654564413,86.7407697,-39.0727551,false,false,false,true
19882,4654718798,164.2932413,-3.5561918,false,false,false,true
19883,4654725944,203.190051,50.5703235,true,false,false,false
19884,4654912167,214.1907367,52.5314064,false,false,true,false
19885,4658632746,334.4775377,0.28444,false,false,false,true
19886,4658634014,334.470183,0.2950748,false,false,false,true
19887,4660126445,202.0688378,33.5555076,true,false,false,false
19888,4660126558,202.0684812,33.5555931,true,false,false,false
19889,4660128352,202.0749226,33.565479499999995,false,true,false,false
19890,4660131063,202.0774354,33.5842803,false,false,true,false
19891,4660131805,202.0575105,33.587645,false,false,false,true
19892,4660274116,214.174694,52.528655500000006,false,true,false,false
19893,4660359758,210.6584265,54.44444920000001,true,false,false,false
19894,4660502690,197.8704386,-1.3630704,true,false,false,false
19895,4662088038,203.2410802,50.5220678,false,false,false,true
19896,4662090754,100.4375489,-50.9649587,false,false,true,false
19897,4663190045,214.6244186,52.7042653,false,false,false,true
19898,4667642700,191.5495833,30.7097738,false,true,false,false
19899,4667644881,191.5391914,30.7225908,false,false,false,true
19900,6000153270735,150.9397745,68.6839301,true,false,false,false
19901,6000153541645,53.0447061,-27.8020918,false,true,false,false
19902,6000153541836,53.0455076,-27.7961559,false,false,true,false
19903,6000153541860,53.0341951,-27.7979225,true,false,false,false
19904,6000153812494,214.6973985,52.71412700000001,true,false,false,false
19905,6000153812657,214.6694608,52.723271200000006,false,false,false,true
19906,6000154099223,2.8592928,52.5284575,false,false,false,true
19907,6000154115122,53.2800998,-27.80321,true,false,false,false
19908,6000154496935,215.1990894,53.0849823,true,false,false,false
19909,6000155553301,170.0484711,12.9653812,true,false,false,false
19910,6000155876918,53.08896120000001,-27.7081704,true,false,false,false
19911,6000156135573,260.0797154,35.62367589999999,true,false,false,false
19912,6000156180818,53.1515734,-27.7965884,false,false,true,false
19913,6000156327799,53.1821035,-84.8930289,false,false,false,true
19914,6000156571701,215.0541172,52.9369066,false,false,false,true
